,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
4792,4792,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,22,30,0,0,0,[5],1.0,,es_899,5.0
4793,4793,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_1026,5.0
4794,4794,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,17,36,0,0,0,[4],1.0,,es_907,4.0
4795,4795,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,22,36,0,0,0,[5],1.0,,es_56,5.0
4796,4796,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_909,5.0
4797,4797,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_1027,5.0
4798,4798,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,12,23,0,0,0,[4],1.0,,es_33,4.0
4799,4799,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,20,32,0,0,0,[5],1.0,,es_906,5.0
4800,4800,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,16,28,0,0,0,[5],1.0,,es_899,5.0
4801,4801,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,12,28,0,0,0,[5],1.0,,es_1026,5.0
4802,4802,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,17,27,0,0,0,[5],1.0,,es_907,5.0
4803,4803,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,16,27,0,0,0,[5],1.0,,es_56,5.0
4805,4805,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,13,33,0,0,0,[5],1.0,,es_909,5.0
4806,4806,1,5709,INSTR. PARA CONTROL Y AUTOM.,MCT-PLS09 ,8,1,2012,1,1,2012,16,26,0,0,0,[5],1.0,,es_1027,5.0
