,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
4995,4995,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,17,25,0,0,0,[3],0.0,,es_1084,3.0
4996,4996,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,12,25,0,0,0,[4],1.0,,es_1085,4.0
4997,4997,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,0,2012,14,26,0,0,0,[0],1.0,,es_303,0.0
4998,4998,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_536,0.0
4999,4999,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,13,33,0,0,0,[5],1.0,,es_106,5.0
5000,5000,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,21,29,0,0,0,[5],1.0,,es_1086,5.0
5001,5001,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,21,25,0,0,0,[4],1.0,,es_788,4.0
5003,5003,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,17,34,0,0,0,[5],1.0,,es_111,5.0
5004,5004,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,15,29,0,0,0,[4],1.0,,es_853,4.0
5005,5005,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,19,35,0,0,0,[5],1.0,,es_1087,5.0
5006,5006,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,17,28,0,0,0,[3],1.0,,es_1088,3.0
5007,5007,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,22,33,0,0,0,[5],1.0,,es_1089,5.0
5008,5008,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_1090,5.0
5009,5009,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,23,32,0,0,0,[5],1.0,,es_1091,5.0
5010,5010,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,0,2012,11,19,8,0,0,[0],1.0,,es_243,0.0
5011,5011,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,22,18,8,0,0,[4],1.0,,es_1082,4.0
5012,5012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,16,22,8,0,0,[3],1.0,,es_689,3.0
5013,5013,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,13,21,7,0,0,[2],1.0,,es_1084,2.0
5014,5014,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_515,0.0
5015,5015,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,16,24,8,0,0,[3],1.0,,es_1085,3.0
5016,5016,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,16,30,8,0,0,[5],1.0,,es_1086,5.0
5017,5017,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,12,21,7,0,0,[2],1.0,,es_728,2.0
5018,5018,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,14,19,8,0,0,[3],1.0,,es_111,3.0
5019,5019,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,0,17,7,0,0,[4],1.0,,es_853,4.0
5020,5020,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,13,27,10,0,0,[4],1.0,,es_1087,4.0
5021,5021,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,15,19,8,0,0,[3],1.0,,es_1088,3.0
5022,5022,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,20,26,9,0,0,[5],1.0,,es_1089,5.0
