,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
5042,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,19,26,0,[5],es_1088,5.0
5043,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,22,23,0,[5],es_757,5.0
5044,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,20,28,0,[5],es_1089,5.0
5045,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,24,35,0,[5],es_1090,5.0
5046,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,19,34,0,[5],es_1091,5.0
5047,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,13,25,0,[5],es_878,5.0
5048,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,22,27,0,[5],es_400,5.0
5049,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,11,21,10,[3],es_1082,3.0
5050,1,INVEST. DE OPERACIONES 2,1,2012,0,0,4,16,0,[0],es_1083,0.0
5051,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,16,20,5,[5],es_689,5.0
5052,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,6,19,10,[2],es_269,2.0
5053,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,17,22,5,[2],es_1084,2.0
5054,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,24,22,0,[4],es_277,4.0
5055,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,16,19,10,[2],es_515,2.0
5056,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,24,22,10,[5],es_1085,5.0
5057,1,INVEST. DE OPERACIONES 2,1,2012,0,0,0,0,0,[0],es_536,0.0
5058,1,INVEST. DE OPERACIONES 2,1,2012,0,0,0,0,0,[0],es_538,0.0
5059,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,23,21,0,[2],es_1086,2.0
5060,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,16,15,10,[4],es_1087,4.0
5061,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,0,28,10,[2],es_1088,2.0
5062,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,4,16,10,[2],es_592,2.0
5063,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,19,16,10,[4],es_757,4.0
5064,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,16,21,10,[3],es_1089,3.0
5065,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,23,35,10,[5],es_1090,5.0
5066,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,16,30,10,[5],es_1091,5.0
5067,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,14,21,10,[3],es_878,3.0
5068,1,INVEST. DE OPERACIONES 2,1,2012,1,2012,19,0,0,[5],es_400,5.0
5069,1,ELECTROTECNIA 2,1,2012,0,0,0,0,0,[0],es_243,0.0
5070,1,ELECTROTECNIA 2,1,2012,1,2012,18,29,0,[3],es_1082,3.0
5071,1,ELECTROTECNIA 2,1,2012,1,2012,20,25,0,[4],es_689,4.0
5072,1,ELECTROTECNIA 2,1,2012,1,2012,20,17,0,[2],es_1084,2.0
5073,1,ELECTROTECNIA 2,1,2012,0,0,17,4,0,[0],es_515,0.0
5074,1,ELECTROTECNIA 2,1,2012,1,2012,23,27,0,[3],es_1085,3.0
5075,1,ELECTROTECNIA 2,1,2012,0,0,5,0,0,[0],es_536,0.0
5076,1,ELECTROTECNIA 2,1,2012,0,0,0,0,0,[0],es_538,0.0
5077,1,ELECTROTECNIA 2,1,2012,1,2012,20,18,0,[3],es_1086,3.0
5078,1,ELECTROTECNIA 2,1,2012,0,0,14,16,0,[0],es_430,0.0
5079,1,ELECTROTECNIA 2,1,2012,1,2012,18,28,0,[4],es_111,4.0
5080,1,ELECTROTECNIA 2,1,2012,1,2012,23,26,0,[5],es_1087,5.0
5081,1,ELECTROTECNIA 2,1,2012,1,2012,13,23,0,[2],es_1088,2.0
5082,1,ELECTROTECNIA 2,1,2012,1,2012,20,26,0,[3],es_1089,3.0
5083,1,ELECTROTECNIA 2,1,2012,1,2012,27,39,0,[5],es_1090,5.0
5084,1,ELECTROTECNIA 2,1,2012,1,2012,22,24,0,[4],es_1091,4.0
5085,1,GESTION EMPRESARIAL,1,2012,1,2012,21,28,8,[5],es_1094,5.0
5087,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,23,43,0,[5],es_851,5.0
5088,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,19,38,0,[5],es_412,5.0
5089,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,21,40,0,[5],es_698,5.0
5090,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,23,42,0,[5],es_852,5.0
5091,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,24,44,0,[5],es_248,5.0
5092,1,PROCESOS INDUSTRIALES 1,1,2012,1,2012,18,37,0,[4],es_754,4.0
5093,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,18,35,0,[5],es_98,5.0
5094,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,0,2012,16,30,0,[0],es_1083,0.0
5095,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,22,38,0,[5],es_851,5.0
5096,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,20,39,0,[5],es_709,5.0
5097,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,22,38,0,[5],es_852,5.0
5098,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,18,32,0,[4],es_303,4.0
5099,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,12,25,0,[2],es_714,2.0
5100,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,17,37,0,[5],es_106,5.0
5101,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,22,34,0,[5],es_788,5.0
5102,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,17,32,0,[4],es_853,4.0
5103,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,18,40,0,[5],es_114,5.0
5104,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,20,36,0,[5],es_252,5.0
5105,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,22,32,0,[4],es_592,4.0
5106,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,19,42,0,[5],es_750,5.0
5107,1,SISTEMA DE PLANIF. ESTRATEGICA,1,2012,1,2012,21,31,0,[4],es_117,4.0
5108,1,SISTEMA DE CALIDAD,1,2012,1,2012,26,25,7,[5],es_98,5.0
5109,1,SISTEMA DE CALIDAD,1,2012,0,0,25,0,1,[0],es_1083,0.0
5110,1,SISTEMA DE CALIDAD,1,2012,1,2012,26,28,10,[5],es_851,5.0
5111,1,SISTEMA DE CALIDAD,1,2012,1,2012,11,23,8,[3],es_699,3.0
5112,1,SISTEMA DE CALIDAD,1,2012,1,2012,25,27,7,[5],es_709,5.0
5113,1,SISTEMA DE CALIDAD,1,2012,1,2012,29,27,7,[5],es_852,5.0
5114,1,SISTEMA DE CALIDAD,1,2012,1,2012,21,26,8,[5],es_303,5.0
5115,1,SISTEMA DE CALIDAD,1,2012,1,2012,25,20,7,[5],es_714,5.0
5116,1,SISTEMA DE CALIDAD,1,2012,1,2012,25,26,8,[5],es_106,5.0
5117,1,SISTEMA DE CALIDAD,1,2012,1,2012,23,20,8,[4],es_788,4.0
5118,1,SISTEMA DE CALIDAD,1,2012,1,2012,18,26,8,[5],es_853,5.0
5119,1,SISTEMA DE CALIDAD,1,2012,1,2012,21,25,8,[5],es_114,5.0
5120,1,SISTEMA DE CALIDAD,1,2012,1,2012,25,26,7,[5],es_252,5.0
5121,1,SISTEMA DE CALIDAD,1,2012,1,2012,26,25,9,[5],es_592,5.0
5122,1,SISTEMA DE CALIDAD,1,2012,1,2012,21,24,10,[5],es_750,5.0
5123,1,SISTEMA DE CALIDAD,1,2012,1,2012,27,27,7,[5],es_117,5.0
5124,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2011,17,29,2,[4],es_243,4.0
5125,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,22,29,9,[5],es_851,5.0
5126,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,18,2,7,[4],es_698,4.0
5127,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,21,31,8,[5],es_709,5.0
5128,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,19,29,9,[5],es_852,5.0
5129,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,21,29,2,[5],es_106,5.0
5130,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,15,31,7,[5],es_108,5.0
5131,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,17,29,2,[4],es_788,4.0
5132,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,22,29,2,[5],es_111,5.0
5133,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,17,31,8,[5],es_853,5.0
5134,1,TECNOLOGIA DE LA INFORMACION,1,2012,1,2012,19,29,2,[4],es_117,4.0
5136,1,SISTEMA AMBIENTAL,1,2012,1,2012,15,24,10,[4],es_478,4.0
5137,1,SISTEMA AMBIENTAL,1,2012,1,2012,22,25,9,[5],es_851,5.0
5138,1,SISTEMA AMBIENTAL,1,2012,1,2012,9,14,10,[4],es_698,4.0
5139,1,SISTEMA AMBIENTAL,1,2012,1,2012,20,24,9,[5],es_852,5.0
5140,1,SISTEMA AMBIENTAL,1,2012,1,2012,18,19,10,[4],es_725,4.0
5141,1,SISTEMA AMBIENTAL,1,2012,1,2012,18,26,10,[5],es_735,5.0
5142,1,SISTEMA AMBIENTAL,1,2012,0,2012,10,21,10,[0],es_754,0.0
5143,1,INGENIERIA ECONOMICA,1,2012,1,2012,13,27,7,[5],es_243,5.0
