,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
4845,1,NOCIONES DE DERECHO,1,2012,1,2012,20,27,10,[4],es_181,4.0
4846,1,NOCIONES DE DERECHO,1,2012,1,2012,9,30,10,[5],es_10,5.0
4847,1,NOCIONES DE DERECHO,1,2012,0,0,0,0,0,[0],es_11,0.0
4848,1,NOCIONES DE DERECHO,1,2012,1,2012,19,25,10,[5],es_102,5.0
4849,1,NOCIONES DE DERECHO,1,2012,1,2012,17,33,10,[5],es_897,5.0
4850,1,NOCIONES DE DERECHO,1,2012,1,2012,17,29,10,[3],es_906,3.0
4851,1,NOCIONES DE DERECHO,1,2012,1,2012,17,24,10,[3],es_708,3.0
4852,1,NOCIONES DE DERECHO,1,2012,0,2012,9,24,8,[0],es_911,0.0
4853,1,NOCIONES DE DERECHO,1,2012,0,0,15,0,0,[0],es_81,0.0
4854,1,NOCIONES DE DERECHO,1,2012,1,2012,17,24,10,[4],es_141,4.0
4855,1,NOCIONES DE DERECHO,1,2012,1,2012,16,32,10,[5],es_531,5.0
4856,1,NOCIONES DE DERECHO,1,2012,1,2012,16,30,10,[4],es_83,4.0
4857,1,NOCIONES DE DERECHO,1,2012,0,2012,0,0,0,[0],es_719,0.0
4858,1,NOCIONES DE DERECHO,1,2012,1,2012,14,32,10,[4],es_84,4.0
4859,1,NOCIONES DE DERECHO,1,2012,1,2012,17,36,10,[5],es_121,5.0
4860,1,NOCIONES DE DERECHO,1,2012,0,2012,0,31,10,[0],es_825,0.0
4861,1,NOCIONES DE DERECHO,1,2012,1,2012,11,34,10,[3],es_41,3.0
4862,1,NOCIONES DE DERECHO,1,2012,1,2012,16,33,10,[4],es_833,4.0
4863,1,NOCIONES DE DERECHO,1,2012,1,2012,11,32,10,[3],es_18,3.0
4864,1,NOCIONES DE DERECHO,1,2012,1,2012,19,34,10,[5],es_122,5.0
4865,1,NOCIONES DE DERECHO,1,2012,1,2012,9,30,10,[2],es_814,2.0
4866,1,NOCIONES DE DERECHO,1,2012,1,2012,12,30,10,[3],es_562,3.0
4867,1,NOCIONES DE DERECHO,1,2012,1,2012,18,29,10,[4],es_19,4.0
4868,1,NOCIONES DE DERECHO,1,2012,0,0,9,30,10,[0],es_123,0.0
4869,1,NOCIONES DE DERECHO,1,2012,0,2012,13,32,10,[0],es_570,0.0
4870,1,NOCIONES DE DERECHO,1,2012,1,2012,20,29,10,[5],es_112,5.0
4871,1,NOCIONES DE DERECHO,1,2012,1,2012,11,26,0,[2],es_815,2.0
4872,1,NOCIONES DE DERECHO,1,2012,1,2012,18,31,10,[4],es_115,4.0
4873,1,NOCIONES DE DERECHO,1,2012,1,2012,17,30,10,[4],es_741,4.0
4874,1,NOCIONES DE DERECHO,1,2012,1,2012,13,32,10,[4],es_248,4.0
4875,1,NOCIONES DE DERECHO,1,2012,1,2012,17,28,10,[4],es_583,4.0
4876,1,NOCIONES DE DERECHO,1,2012,1,2012,9,33,10,[5],es_587,5.0
4877,1,NOCIONES DE DERECHO,1,2012,1,2012,14,30,10,[5],es_21,5.0
4878,1,NOCIONES DE DERECHO,1,2012,1,2012,10,29,8,[3],es_602,3.0
4879,1,NOCIONES DE DERECHO,1,2012,0,0,0,0,0,[0],es_1080,0.0
4880,1,NOCIONES DE DERECHO,1,2012,1,2012,20,34,10,[5],es_90,5.0
4881,1,NOCIONES DE DERECHO,1,2012,1,2012,23,31,10,[5],es_834,5.0
4882,1,NOCIONES DE DERECHO,1,2012,1,2012,14,36,10,[5],es_831,5.0
4883,1,NOCIONES DE DERECHO,1,2012,1,2011,0,0,0,[3],es_764,3.0
4884,1,NOCIONES DE DERECHO,1,2012,1,2012,17,33,10,[5],es_821,5.0
4885,1,NOCIONES DE DERECHO,1,2012,1,2012,13,28,10,[3],es_23,3.0
4886,1,NOCIONES DE DERECHO,1,2012,1,2012,20,29,10,[5],es_118,5.0
4887,1,NOCIONES DE DERECHO,1,2012,1,2012,17,29,10,[4],es_24,4.0
4888,1,NOCIONES DE DERECHO,1,2012,1,2012,17,27,10,[4],es_58,4.0
4889,1,NOCIONES DE DERECHO,1,2012,1,2012,10,32,10,[4],es_93,4.0
4890,1,NOCIONES DE DERECHO,1,2012,1,2012,17,31,8,[4],es_1081,4.0
4891,1,NOCIONES DE DERECHO,1,2012,1,2012,9,31,10,[4],es_94,4.0
4892,1,NOCIONES DE DERECHO,1,2012,1,2012,13,34,10,[5],es_183,5.0
4893,1,NOCIONES DE DERECHO,1,2012,1,2012,11,35,10,[5],es_832,5.0
4894,1,NOCIONES DE DERECHO,1,2012,0,2012,12,23,10,[0],es_59,0.0
4895,1,NOCIONES DE DERECHO,1,2012,1,2012,22,30,10,[5],es_772,5.0
4896,1,NOCIONES DE DERECHO,1,2012,0,2012,13,27,8,[0],es_915,0.0
4897,1,NOCIONES DE DERECHO,1,2012,1,2012,6,22,10,[2],es_60,2.0
