,Unnamed: 0,danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Tercer.Par,Asis,Cuarto.Par,4P_60,id_anony
5027,5027,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,15,27,0,0,0,1F-4,0.0,1.0,,,es_1082
5029,5029,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,19,21,0,0,0,2F-4,0.0,1.0,,,es_689
5030,5030,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,21,20,0,0,0,2F-4,0.0,1.0,,,es_269
5031,5031,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,12,32,0,0,0,3F-5,0.0,1.0,,,es_1084
5032,5032,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,14,29,0,0,0,1F-5,0.0,1.0,,,es_277
5033,5033,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,21,8,0,0,0,2F-3,0.0,1.0,,,es_515
5034,5034,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,14,33,0,0,0,1F-5,0.0,1.0,,,es_1085
5035,5035,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_422
5036,5036,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,14,36,0,0,0,3F-5,0.0,1.0,,,es_298
5037,5037,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_536
5038,5038,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_538
5039,5039,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,21,34,0,0,0,1F-5,0.0,1.0,,,es_1086
5040,5040,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,17,25,0,0,0,1F-4,0.0,1.0,,,es_430
5041,5041,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,22,31,0,0,0,1F-5,0.0,1.0,,,es_1087
5042,5042,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,19,26,0,0,0,1F-5,0.0,1.0,,,es_1088
5043,5043,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,22,23,0,0,0,2F-5,0.0,1.0,,,es_757
5044,5044,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,20,28,0,0,0,1F-5,0.0,1.0,,,es_1089
5045,5045,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,24,35,0,0,0,1F-5,0.0,1.0,,,es_1090
5046,5046,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,19,34,0,0,0,1F-5,0.0,1.0,,,es_1091
5047,5047,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,13,25,0,0,0,1F-5,0.0,1.0,,,es_878
5048,5048,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,22,27,0,0,0,1F-5,0.0,1.0,,,es_400
